DATAFLOW,LAST UPDATE,FREQ,INDIC,UNIT,GEO,TIME_PERIOD,OBS_VALUE,OBS_FLAG
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2016,45558.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2017,46773.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2018,48484.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2019,48516.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2020,49634.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2021,52605.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,DK,2022,54540.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,1995,707013.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,1996,742266.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,1997,767798.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,1998,834789.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,1999,885244.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2000,916741.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2001,938777.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2002,971449,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2003,998732.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2004,1042612.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2005,1093825.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2006,1158503.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2007,1216079.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2008,1198680.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2009,1147310.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2010,1198111.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2011,1246777.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2012,1282406.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2013,1303254.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2014,1348961.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2015,1394078.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2016,1425788.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2017,1479203.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2018,1533533.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2019,1589366.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2020,1480300.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2021,1650281.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EA19,2022,1772438.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,1995,376.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,1996,497.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,1997,609.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,1998,625.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,1999,633.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2000,767.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2001,872.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2002,983.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2003,1066.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2004,1257.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2005,1446.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2006,1830.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2007,2201.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2008,2023.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2009,2075.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2010,2043.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2011,2270.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2012,2495.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2013,2553.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2014,2780.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,EE,2015,2967.4,
